,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,priority_min,priority_max,path_len,path_count,sla
103,5,4,25,26,0.01,0.3,1,2,1,1,2000,1,0.004498569932839092
104,5,5,25,26,0.01,0.3,1,2,1,1,2000,1,2.5967180413388438e-14
105,5,6,25,26,0.01,0.3,1,2,1,1,2000,1,1.0051825438969806e-07
106,5,7,25,26,0.01,0.3,1,2,1,1,2000,1,0.0007738949273822344
107,5,8,25,26,0.01,0.3,1,2,1,1,2000,1,2.639852698161007e-12
108,5,9,25,26,0.01,0.3,1,2,1,1,2000,1,0.001998429871903868
109,5,10,25,26,0.01,0.3,1,2,1,1,2000,1,1.0875727034988453e-18
110,5,11,25,26,0.01,0.3,1,2,1,1,2000,1,2.2701085776783773e-05
111,5,12,25,26,0.01,0.3,1,2,1,1,2000,1,9.841133114551125e-11
112,5,13,25,26,0.01,0.3,1,2,1,1,2000,1,5.081810828988032e-08
113,5,14,25,26,0.01,0.3,1,2,1,1,2000,1,0.0002274214843207736
114,5,15,25,26,0.01,0.3,1,2,1,1,2000,1,0.011260386853285663
115,5,16,25,26,0.01,0.3,1,2,1,1,2000,1,3.7395230581199375e-09
116,5,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.9382654224455144e-06
117,5,18,25,26,0.01,0.3,1,2,1,1,2000,1,0.0004270367286930355
118,5,19,25,26,0.01,0.3,1,2,1,1,2000,1,6.744666847747469e-08
119,5,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.013207896011594847
120,5,21,25,26,0.01,0.3,1,2,1,1,2000,1,2.0518305961278618e-06
121,5,22,25,26,0.01,0.3,1,2,1,1,2000,1,0.010393139670334076
122,5,23,25,26,0.01,0.3,1,2,1,1,2000,1,0.009187471480100783
123,5,24,25,26,0.01,0.3,1,2,1,1,2000,1,4.917166379955732e-05
124,5,25,25,26,0.01,0.3,1,2,1,1,2000,1,9.44775854643584e-07
125,6,1,25,26,0.01,0.3,1,2,1,1,2000,1,9.006775707299436e-08
126,6,2,25,26,0.01,0.3,1,2,1,1,2000,1,1.6009685226689983e-08
127,6,3,25,26,0.01,0.3,1,2,1,1,2000,1,4.333576511598612e-11
128,6,4,25,26,0.01,0.3,1,2,1,1,2000,1,7.314780721866014e-07
129,6,5,25,26,0.01,0.3,1,2,1,1,2000,1,9.083253679108157e-06
130,6,6,25,26,0.01,0.3,1,2,1,1,2000,1,1.5080687969625757e-08
131,6,7,25,26,0.01,0.3,1,2,1,1,2000,1,8.553735044508967e-08
132,6,8,25,26,0.01,0.3,1,2,1,1,2000,1,3.8857939031957805e-09
133,6,9,25,26,0.01,0.3,1,2,1,1,2000,1,8.739679062869957e-08
134,6,10,25,26,0.01,0.3,1,2,1,1,2000,1,1.694920359966604e-06
135,6,11,25,26,0.01,0.3,1,2,1,1,2000,1,1.0694342694611681e-05
136,6,12,25,26,0.01,0.3,1,2,1,1,2000,1,3.836236924768496e-12
137,6,13,25,26,0.01,0.3,1,2,1,1,2000,1,8.686967226189579e-09
138,6,14,25,26,0.01,0.3,1,2,1,1,2000,1,2.408184458346479e-06
139,6,15,25,26,0.01,0.3,1,2,1,1,2000,1,0.00019675644536938202
140,6,16,25,26,0.01,0.3,1,2,1,1,2000,1,9.25566466602192e-14
141,6,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.6973430033847967e-11
142,6,18,25,26,0.01,0.3,1,2,1,1,2000,1,6.018078036829362e-05
143,6,19,25,26,0.01,0.3,1,2,1,1,2000,1,3.626302658291232e-10
144,6,20,25,26,0.01,0.3,1,2,1,1,2000,1,1.5768667974232484e-08
145,6,21,25,26,0.01,0.3,1,2,1,1,2000,1,3.424053302536215e-08
146,6,22,25,26,0.01,0.3,1,2,1,1,2000,1,2.0427850029140456e-08
147,6,23,25,26,0.01,0.3,1,2,1,1,2000,1,3.688495782876032e-12
148,6,24,25,26,0.01,0.3,1,2,1,1,2000,1,7.299516744793121e-09
149,6,25,25,26,0.01,0.3,1,2,1,1,2000,1,2.3860694941544737e-08
150,7,1,25,26,0.01,0.3,1,2,1,1,2000,1,1.0015737832355023e-15
151,7,2,25,26,0.01,0.3,1,2,1,1,2000,1,1.0075749737418688e-32
152,7,3,25,26,0.01,0.3,1,2,1,1,2000,1,3.408554012497565e-67
153,7,4,25,26,0.01,0.3,1,2,1,1,2000,1,4.345084055372301e-23
154,7,5,25,26,0.01,0.3,1,2,1,1,2000,1,6.570018528407723e-23
155,7,6,25,26,0.01,0.3,1,2,1,1,2000,1,2.812050046197016e-19
156,7,7,25,26,0.01,0.3,1,2,1,1,2000,1,7.122104325514782e-40
157,7,8,25,26,0.01,0.3,1,2,1,1,2000,1,7.625831040072443e-28
158,7,9,25,26,0.01,0.3,1,2,1,1,2000,1,1.6992012234685111e-18
159,7,10,25,26,0.01,0.3,1,2,1,1,2000,1,9.206676739343105e-33
160,7,11,25,26,0.01,0.3,1,2,1,1,2000,1,2.879532171069365e-24
161,7,12,25,26,0.01,0.3,1,2,1,1,2000,1,4.375656595081753e-41
162,7,13,25,26,0.01,0.3,1,2,1,1,2000,1,1.0215877355670608e-18
163,7,14,25,26,0.01,0.3,1,2,1,1,2000,1,1.2502965716032966e-18
164,7,15,25,26,0.01,0.3,1,2,1,1,2000,1,2.4865735844945283e-21
165,7,16,25,26,0.01,0.3,1,2,1,1,2000,1,1.2248632771536065e-37
166,7,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.051521317418725e-17
167,7,18,25,26,0.01,0.3,1,2,1,1,2000,1,2.528769913073309e-20
168,7,19,25,26,0.01,0.3,1,2,1,1,2000,1,4.868976247685076e-11
169,7,20,25,26,0.01,0.3,1,2,1,1,2000,1,5.302149637487217e-42
170,7,21,25,26,0.01,0.3,1,2,1,1,2000,1,1.481559846948963e-13
171,7,22,25,26,0.01,0.3,1,2,1,1,2000,1,2.3122851108580446e-38
172,7,23,25,26,0.01,0.3,1,2,1,1,2000,1,1.4885397924391016e-44
173,7,24,25,26,0.01,0.3,1,2,1,1,2000,1,6.74999077003807e-25
174,7,25,25,26,0.01,0.3,1,2,1,1,2000,1,7.751230572824652e-25
175,8,1,25,26,0.01,0.3,1,2,1,1,2000,1,6.719534322215328e-07
176,8,2,25,26,0.01,0.3,1,2,1,1,2000,1,7.225311390190017e-09
177,8,3,25,26,0.01,0.3,1,2,1,1,2000,1,2.9994164508891493e-09
178,8,4,25,26,0.01,0.3,1,2,1,1,2000,1,1.0407400674834004e-13
179,8,5,25,26,0.01,0.3,1,2,1,1,2000,1,5.298841326704263e-07
180,8,6,25,26,0.01,0.3,1,2,1,1,2000,1,6.893509537347659e-06
181,8,7,25,26,0.01,0.3,1,2,1,1,2000,1,7.667941690552364e-15
182,8,8,25,26,0.01,0.3,1,2,1,1,2000,1,1.3431954441369835e-06
183,8,9,25,26,0.01,0.3,1,2,1,1,2000,1,1.9962426001476697e-08
184,8,10,25,26,0.01,0.3,1,2,1,1,2000,1,8.916559806321516e-13
185,8,11,25,26,0.01,0.3,1,2,1,1,2000,1,8.695003005474473e-14
186,8,12,25,26,0.01,0.3,1,2,1,1,2000,1,9.18893124875589e-07
187,8,13,25,26,0.01,0.3,1,2,1,1,2000,1,0.0007601404068400131
188,8,14,25,26,0.01,0.3,1,2,1,1,2000,1,1.9547687955047668e-20
189,8,15,25,26,0.01,0.3,1,2,1,1,2000,1,2.5276843294422403e-06
190,8,16,25,26,0.01,0.3,1,2,1,1,2000,1,1.9324673625973896e-06
191,8,17,25,26,0.01,0.3,1,2,1,1,2000,1,2.065422192055054e-06
192,8,18,25,26,0.01,0.3,1,2,1,1,2000,1,9.363952270138062e-09
193,8,19,25,26,0.01,0.3,1,2,1,1,2000,1,6.2304409156948795e-06
194,8,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.00020789780370280366
195,8,21,25,26,0.01,0.3,1,2,1,1,2000,1,2.0670835222863894e-05
196,8,22,25,26,0.01,0.3,1,2,1,1,2000,1,4.0018902537967976e-12
197,8,23,25,26,0.01,0.3,1,2,1,1,2000,1,1.529102670620844e-06
198,8,24,25,26,0.01,0.3,1,2,1,1,2000,1,1.3844414688335048e-07
199,8,25,25,26,0.01,0.3,1,2,1,1,2000,1,9.610488067662994e-06
200,9,1,25,26,0.01,0.3,1,2,1,1,2000,1,0.6046626029673363
201,9,2,25,26,0.01,0.3,1,2,1,1,2000,1,0.8836352036437334
202,9,3,25,26,0.01,0.3,1,2,1,1,2000,1,0.20982263303432624
203,9,4,25,26,0.01,0.3,1,2,1,1,2000,1,0.9992571536355597
204,9,5,25,26,0.01,0.3,1,2,1,1,2000,1,0.6696722350562386
205,9,6,25,26,0.01,0.3,1,2,1,1,2000,1,0.49908993815350555
206,9,7,25,26,0.01,0.3,1,2,1,1,2000,1,0.11005416365397064
207,9,8,25,26,0.01,0.3,1,2,1,1,2000,1,0.22021693645676801
208,9,9,25,26,0.01,0.3,1,2,1,1,2000,1,0.9944072562380848
209,9,10,25,26,0.01,0.3,1,2,1,1,2000,1,0.8962026397339953
210,9,11,25,26,0.01,0.3,1,2,1,1,2000,1,0.6526669644510492
211,9,12,25,26,0.01,0.3,1,2,1,1,2000,1,0.9968539534796141
212,9,13,25,26,0.01,0.3,1,2,1,1,2000,1,0.15430700499780303
213,9,14,25,26,0.01,0.3,1,2,1,1,2000,1,0.03017722619296677
214,9,15,25,26,0.01,0.3,1,2,1,1,2000,1,0.037216115401567704
215,9,16,25,26,0.01,0.3,1,2,1,1,2000,1,0.35448535122699765
216,9,17,25,26,0.01,0.3,1,2,1,1,2000,1,1.9913788209880252e-05
217,9,18,25,26,0.01,0.3,1,2,1,1,2000,1,2.6376586450321827e-05
218,9,19,25,26,0.01,0.3,1,2,1,1,2000,1,0.00021466340198619512
219,9,20,25,26,0.01,0.3,1,2,1,1,2000,1,0.025183432039724757
220,9,21,25,26,0.01,0.3,1,2,1,1,2000,1,0.4315548059281258
221,9,22,25,26,0.01,0.3,1,2,1,1,2000,1,0.9996515976052969
222,9,23,25,26,0.01,0.3,1,2,1,1,2000,1,0.9973161151872301
223,9,24,25,26,0.01,0.3,1,2,1,1,2000,1,0.7569422647196021
224,9,25,25,26,0.01,0.3,1,2,1,1,2000,1,0.06122136123962209
225,10,1,25,26,0.01,0.3,1,2,1,1,2000,1,0.0006681461736031218
226,10,2,25,26,0.01,0.3,1,2,1,1,2000,1,9.828489174389247e-10
