,case_no,subcase_no,case_count,node_count,p_node_fail_min,p_node_fail_max,retires_min,retires_max,path_len,path_count,sla
234,5,35,50,25,0.01,0.3,1,2,2000,1,1.7982762469522592e-26
235,5,36,50,25,0.01,0.3,1,2,2000,1,3.511601893486713e-39
236,5,37,50,25,0.01,0.3,1,2,2000,1,2.2591526089376814e-17
237,5,38,50,25,0.01,0.3,1,2,2000,1,2.5241970647198647e-08
238,5,39,50,25,0.01,0.3,1,2,2000,1,2.2027582408511487e-27
239,5,40,50,25,0.01,0.3,1,2,2000,1,8.439635863157314e-20
240,5,41,50,25,0.01,0.3,1,2,2000,1,1.1034694732877427e-42
241,5,42,50,25,0.01,0.3,1,2,2000,1,1.4946811880976733e-20
242,5,43,50,25,0.01,0.3,1,2,2000,1,1.2220002258500414e-16
243,5,44,50,25,0.01,0.3,1,2,2000,1,2.7284698267552606e-10
244,5,45,50,25,0.01,0.3,1,2,2000,1,2.7383066371481834e-24
245,5,46,50,25,0.01,0.3,1,2,2000,1,6.259683728975938e-22
246,5,47,50,25,0.01,0.3,1,2,2000,1,5.414117189838045e-19
247,5,48,50,25,0.01,0.3,1,2,2000,1,1.1066675159922678e-13
248,5,49,50,25,0.01,0.3,1,2,2000,1,1.4216192261052724e-22
249,5,50,50,25,0.01,0.3,1,2,2000,1,3.5382525566743887e-10
250,6,1,50,25,0.01,0.3,1,2,2000,1,0.002336768015284314
251,6,2,50,25,0.01,0.3,1,2,2000,1,0.921942798957009
252,6,3,50,25,0.01,0.3,1,2,2000,1,0.023692302740154637
253,6,4,50,25,0.01,0.3,1,2,2000,1,0.05443137291489734
254,6,5,50,25,0.01,0.3,1,2,2000,1,0.00027912553918232224
255,6,6,50,25,0.01,0.3,1,2,2000,1,0.7023779670059167
256,6,7,50,25,0.01,0.3,1,2,2000,1,0.6257621081538232
257,6,8,50,25,0.01,0.3,1,2,2000,1,0.29256037354525044
258,6,9,50,25,0.01,0.3,1,2,2000,1,0.5670674663782659
259,6,10,50,25,0.01,0.3,1,2,2000,1,0.06012416486348604
260,6,11,50,25,0.01,0.3,1,2,2000,1,0.05002874537060896
261,6,12,50,25,0.01,0.3,1,2,2000,1,0.9926630673380713
262,6,13,50,25,0.01,0.3,1,2,2000,1,0.000530186611163436
263,6,14,50,25,0.01,0.3,1,2,2000,1,0.6781439651703728
264,6,15,50,25,0.01,0.3,1,2,2000,1,0.3443013576719486
265,6,16,50,25,0.01,0.3,1,2,2000,1,0.13540109306400494
266,6,17,50,25,0.01,0.3,1,2,2000,1,0.9783265593199243
267,6,18,50,25,0.01,0.3,1,2,2000,1,0.6395328367526245
268,6,19,50,25,0.01,0.3,1,2,2000,1,0.08719561921145488
269,6,20,50,25,0.01,0.3,1,2,2000,1,0.05237909490753435
270,6,21,50,25,0.01,0.3,1,2,2000,1,0.8782035499804139
271,6,22,50,25,0.01,0.3,1,2,2000,1,0.042339828737321894
272,6,23,50,25,0.01,0.3,1,2,2000,1,0.0002840819476630039
273,6,24,50,25,0.01,0.3,1,2,2000,1,0.9920053863061362
274,6,25,50,25,0.01,0.3,1,2,2000,1,0.7210283758045755
275,6,26,50,25,0.01,0.3,1,2,2000,1,0.0033942408758195334
276,6,27,50,25,0.01,0.3,1,2,2000,1,0.00016738258403742746
277,6,28,50,25,0.01,0.3,1,2,2000,1,0.8795970998932718
278,6,29,50,25,0.01,0.3,1,2,2000,1,0.0026574109829549334
279,6,30,50,25,0.01,0.3,1,2,2000,1,0.03917575669641617
280,6,31,50,25,0.01,0.3,1,2,2000,1,0.19392547170138608
281,6,32,50,25,0.01,0.3,1,2,2000,1,2.6856579607740887e-05
282,6,33,50,25,0.01,0.3,1,2,2000,1,0.016472324423137227
283,6,34,50,25,0.01,0.3,1,2,2000,1,0.0010652490805216131
284,6,35,50,25,0.01,0.3,1,2,2000,1,0.9894085854724679
285,6,36,50,25,0.01,0.3,1,2,2000,1,0.9368904110492753
286,6,37,50,25,0.01,0.3,1,2,2000,1,0.5345546967098854
287,6,38,50,25,0.01,0.3,1,2,2000,1,0.43623456149703943
288,6,39,50,25,0.01,0.3,1,2,2000,1,0.9904551144932078
289,6,40,50,25,0.01,0.3,1,2,2000,1,0.27697485503180247
